,storyline,cast
Gladiator (2000),"In this adaptation of the autobiography ""The Pianist: The Extraordinary True Story of One Man's Survival in Warsaw, 1939-1945,"" Wladyslaw Szpilman, a Polish Jewish radio station pianist, sees Warsaw change gradually as World War II begins. Szpilman is forced into the Warsaw Ghetto, but is later separated from his family during Operation Reinhard. From this time until the concentration camp prisoners are released, Szpilman hides in various locations among the ruins of Warsaw.","{'Wladyslaw Szpilman': 'Adrien Brody', 'Dorota': 'Emilia Fox', 'Jurek': 'Michal Zebrowski', 'Henryk': 'Ed Stoppard', 'Mother': 'Maureen Lipman'}"
American History X (1998),"Maximus is a powerful Roman general, loved by the people and the aging Emperor, Marcus Aurelius. Before his death, the Emperor chooses Maximus to be his heir over his own son, Commodus, and a power struggle leaves Maximus and his family condemned to death. The powerful general is unable to save his family, and his loss of will allows him to get captured and put into the Gladiator games until he dies. The only desire that fuels him now is the chance to rise to the top so that he will be able to look into the eyes of the man who will feel his revenge.","{'Maximus': 'Russell Crowe', 'Commodus': 'Joaquin Phoenix', 'Lucilla': 'Connie Nielsen', 'Proximo': 'Oliver Reed', 'Marcus Aurelius': 'Richard Harris'}"
The Usual Suspects (1995),"Derek Vineyard is paroled after serving 3 years in prison for brutally killing two black men who tried to break into/steal his truck. Through his brother's, Danny Vineyard, narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.","{'Derek': 'Edward Norton', 'Danny': 'Edward Furlong', 'Doris': ""Beverly D'Angelo"", 'Davina': 'Jennifer Lien', 'Seth Rya': 'Ethan Suplee'}"
Léon (1994),"Following a truck hijack in New York, five criminals are arrested and brought together for questioning. As none of them are guilty, they plan a revenge operation against the police. The operation goes well, but then the influence of a legendary mastermind criminal called Keyser Söze is felt. It becomes clear that each one of them has wronged Söze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion, but the real question arises now: Who actually is Keyser Söze? —Soumitra","{'McManus': 'Stephen Baldwin', 'Keaton': 'Gabriel Byrne', 'Fenster': 'Benicio Del Toro', 'Hockney': 'Kevin Pollak', 'Verbal': 'Kevin Spacey'}"
The Lion King (1994),"After her father, step-mother, step-sister and little brother are killed by her father's employers, the 12-year-old daughter of an abject drug dealer manages to take refuge in the apartment of a professional hitman who at her request teaches her the methods of his job so she can take her revenge on the corrupt DEA agent who ruined her life by killing her beloved brother.","{'Leon': 'Jean Reno', 'Stansfield': 'Gary Oldman', 'Mathilda': 'Natalie Portman', 'Tony': 'Danny Aiello', 'Malky': 'Peter Appel'}"
Terminator 2: Judgment Day (1991),"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be? —femaledragon1234","{'Zazu': 'Rowan Atkinson', 'Simba': 'Matthew Broderick', 'Young Nala': 'Niketa Calame-Harris', 'Ed': 'Jim Cummings', 'Shenzi': 'Whoopi Goldberg'}"
Nuovo Cinema Paradiso (1988),"Over 10 years have passed since the first machine called The Terminator tried to kill Sarah Connor and her unborn son, John. The man who will become the future leader of the human resistance against the Machines is now a healthy young boy. However, another Terminator, called the T-1000, is sent back through time by the supercomputer Skynet. This new Terminator is more advanced and more powerful than its predecessor and its mission is to kill John Connor when he's still a child. However, Sarah and John do not have to face the threat of the T-1000 alone. Another Terminator (identical to the same model that tried and failed to kill Sarah Connor in 1984) is also sent back through time to protect them. Now, the battle for tomorrow has begun.","{'The Terminator': 'Arnold Schwarzenegger', 'Sarah Connor': 'Linda Hamilton', 'John Connor': 'Edward Furlong', 'T-1000': 'Robert Patrick', 'Dr. Silberman': 'Earl Boen'}"
Hotaru no haka (1988),"A boy who grew up in a native Sicilian Village returns home as a famous director after receiving news about the death of an old friend. Told in a flashback, Salvatore reminiscences about his childhood and his relationship with Alfredo, a projectionist at Cinema Paradiso. Under the fatherly influence of Alfredo, Salvatore fell in love with film making, with the duo spending many hours discussing about films and Alfredo painstakingly teaching Salvatore the skills that became a stepping stone for the young boy into the world of film making. The film brings the audience through the changes in cinema and the dying trade of traditional film making, editing and screening. It also explores a young boy's dream of leaving his little town to foray into the world outside.","{'Maria Di Vita - Younger': 'Antonella Attili', 'Spaccafico': 'Enzo Cannavale', 'Anna': 'Isa Danieli', 'Usher': 'Leo Gullotta', ""Salvatore 'Totò' Di Vita - Teenager"": 'Marco Leonardi'}"
Back to the Future (1985),"The story of Seita and Setsuko, two young Japanese siblings, living in the declining days of World War II. When an American firebombing separates the two children from their parents, the two siblings must rely completely on one another while they struggle to fight for their survival.","{'Seita': 'Tsutomu Tatsumi', 'Setsuko': 'Ayano Shiraishi', 'Mother': 'Yoshiko Shinohara', 'Aunt': 'Akemi Yamaguchi', 'Obayashi Chairman': 'Kôzô Hashida'}"
Once Upon a Time in the West (1968),"Marty McFly, a typical American teenager of the Eighties, is accidentally sent back to 1955 in a plutonium-powered DeLorean ""time machine"" invented by a slightly mad scientist. During his often hysterical, always amazing trip back in time, Marty must make certain his teenage parents-to-be meet and fall in love - so he can get back to the future.","{'Marty McFly': 'Michael J. Fox', 'Dr. Emmett Brown': 'Christopher Lloyd', 'Lorraine Baines': 'Lea Thompson', 'George McFly': 'Crispin Glover', 'Biff Tannen': 'Thomas F. Wilson'}"
Psycho (1960),"Jill McBain travels to the wild frontier, Utah, where she and her new husband planned to settle down, but upon arrival, she finds him and his children dead. There's a lot of land, and potential, but there are also those who want to take it--at any cost. Even if it means killing a man and his kids.","{'Jill McBain': 'Claudia Cardinale', 'Frank': 'Henry Fonda', ""Manuel 'Cheyenne' Gutiérrez"": 'Jason Robards', 'Harmonica': 'Charles Bronson', 'Morton - Railroad Baron': 'Gabriele Ferzetti'}"
Pather Panchali (1955),"Phoenix office worker Marion Crane is fed up with the way life has treated her. She has to meet her lover Sam in lunch breaks, and they cannot get married because Sam has to give most of his money away in alimony. One Friday, Marion is trusted to bank forty thousand dollars by her employer. Seeing the opportunity to take the money and start a new life, Marion leaves town and heads towards Sam's California store. Tired after the long drive and caught in a storm, she gets off the main highway and pulls into the Bates Motel. The motel is managed by a quiet young man called Norman who seems to be dominated by his mother.","{'Norman Bates': 'Anthony Perkins', 'Lila Crane': 'Vera Miles', 'Sam Loomis': 'John Gavin', 'Marion Crane': 'Janet Leigh', 'Det. Milton Arbogast': 'Martin Balsam'}"
Rear Window (1954),"The story of a young boy, Apu, and life in his small Indian village. His parents are quite poor - his father Harihar, a writer and poet, gave away the family's fruit orchard to settle his brother's debts. His sister Durga and an old aunt also still lives with them. His mother Sarbojaya bears the brunt of the family's situation. She scrapes by and sells her personal possessions to put food on the table and has to bear the taunts of her neighbors as Durga is always stealing fruit from their orchard. Things get worse when Harihar disappears for five months and Durga falls ill. Even after Harihar returns, the family is left with few alternatives.","{'Harihar Ray': 'Kanu Bannerjee', 'Sarbojaya Ray': 'Karuna Bannerjee', 'Indir Thakrun': 'Chunibala Devi', 'Durga': 'Uma Das Gupta', 'Apu Ray': 'Subir Banerjee'}"
Casablanca (1942),"Professional photographer L.B. ""Jeff"" Jefferies breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Fremont and his visiting nurse Stella to investigate.","{'L.B. Jefferies': 'James Stewart', 'Lisa Fremont': 'Grace Kelly', 'Tom Doyle': 'Wendell Corey', 'Stella': 'Thelma Ritter', 'Lars Thorwald': 'Raymond Burr'}"
Modern Times (1936),"The story of Rick Blaine, a cynical world-weary ex-patriate who runs a nightclub in Casablanca, Morocco during the early stages of WWII. Despite the pressure he constantly receives from the local authorities, Rick's cafe has become a kind of haven for refugees seeking to obtain illicit letters that will help them escape to America. But when Ilsa, a former lover of Rick's, and her husband, show up to his cafe one day, Rick faces a tough challenge which will bring up unforeseen complications, heartbreak and ultimately an excruciating decision to make.","{'Rick Blaine': 'Humphrey Bogart', 'Ilsa Lund': 'Ingrid Bergman', 'Victor Laszlo': 'Paul Henreid', 'Captain Louis Renault': 'Claude Rains', 'Major Heinrich Strasser': 'Conrad Veidt'}"
City Lights (1931),"Chaplin's last 'silent' film, filled with sound effects, was made when everyone else was making talkies. Charlie turns against modern society, the machine age, (The use of sound in films ?) and progress. Firstly we see him frantically trying to keep up with a production line, tightening bolts. He is selected for an experiment with an automatic feeding machine, but various mishaps leads his boss to believe he has gone mad, and Charlie is sent to a mental hospital - When he gets out, he is mistaken for a communist while waving a red flag, sent to jail, foils a jailbreak, and is let out again. We follow Charlie through many more escapades before the film is out.","{'A Factory Worker': 'Charles Chaplin', 'A Gamin': 'Paulette Goddard', 'Cafe Proprietor': 'Henry Bergman', 'Big Bill': 'Tiny Sandford', 'Mechanic': 'Chester Conklin'}"
